# step   N   rho   U
45300 176 0.51312 -529.189
45350 177 0.516035 -531.42
45400 176 0.51312 -523.227
45450 175 0.510204 -517.988
45500 176 0.51312 -528.764
45550 176 0.51312 -526.195
45600 176 0.51312 -524.401
45650 175 0.510204 -519.147
45700 179 0.521866 -549.73
45750 179 0.521866 -548.647
45800 176 0.51312 -536.677
45850 176 0.51312 -534.756
45900 177 0.516035 -539.427
45950 180 0.524781 -549.49
46000 184 0.536443 -564.841
46050 186 0.542274 -571.815
46100 186 0.542274 -573.641
46150 185 0.539359 -572.811
46200 185 0.539359 -579.409
46250 185 0.539359 -579.701
46300 185 0.539359 -575.707
46350 185 0.539359 -572.529
46400 184 0.536443 -570.996
46450 184 0.536443 -571.604
46500 186 0.542274 -577.487
46550 185 0.539359 -570.801
