# step   N   rho   U
18050 17 0.0495627 -7.27086
18100 15 0.0437318 -7.31171
18150 19 0.0553936 -9.3822
18200 17 0.0495627 -5.21328
18250 18 0.0524781 -8.57193
18300 17 0.0495627 -8.44215
18350 23 0.0670554 -10.8633
18400 24 0.0699708 -7.00915
18450 17 0.0495627 -6.29203
18500 17 0.0495627 -5.88186
18550 23 0.0670554 -11.8834
18600 24 0.0699708 -11.8593
18650 25 0.0728863 -15.0069
18700 30 0.0874636 -20.2882
18750 28 0.0816327 -20.3657
18800 27 0.0787172 -16.3361
18850 21 0.0612245 -13.2258
18900 21 0.0612245 -8.96377
18950 20 0.058309 -8.39386
19000 18 0.0524781 -5.30577
19050 16 0.0466472 -8.18668
19100 14 0.0408163 -3.765
19150 22 0.0641399 -9.36959
19200 22 0.0641399 -8.39155
19250 20 0.058309 -12.4819
19300 16 0.0466472 -5.29518
19350 8 0.0233236 -1.88268
19400 8 0.0233236 -0.206023
19450 10 0.0291545 -1.57534
19500 11 0.03207 -1.60501
19550 18 0.0524781 -4.76176
19600 9 0.0262391 -2.58994
19650 10 0.0291545 -2.07671
19700 14 0.0408163 -2.99457
19750 24 0.0699708 -6.48234
19800 16 0.0466472 -3.08958
19850 19 0.0553936 -9.01177
19900 13 0.0379009 -5.62953
19950 15 0.0437318 -8.27169
20000 19 0.0553936 -11.4792
20050 20 0.058309 -11.5209
20100 24 0.0699708 -10.9725
20150 22 0.0641399 -11.1033
20200 21 0.0612245 -9.6236
20250 18 0.0524781 -6.67259
20300 13 0.0379009 -3.68692
20350 17 0.0495627 -2.44011
20400 20 0.058309 -5.83306
20450 28 0.0816327 -15.6706
20500 25 0.0728863 -11.7694
20550 25 0.0728863 -16.1143
20600 31 0.090379 -23.8799
20650 24 0.0699708 -16.981
20700 29 0.0845481 -18.4206
20750 30 0.0874636 -21.7479
20800 24 0.0699708 -18.605
20850 25 0.0728863 -24.415
20900 22 0.0641399 -20.2767
20950 17 0.0495627 -12.0919
21000 24 0.0699708 -12.9821
21050 20 0.058309 -7.26589
21100 16 0.0466472 -8.64524
21150 24 0.0699708 -16.5377
21200 26 0.0758017 -17.7978
21250 25 0.0728863 -19.2512
21300 28 0.0816327 -23.6779
21350 30 0.0874636 -20.1731
21400 32 0.0932945 -21.2306
21450 29 0.0845481 -14.6021
21500 33 0.0962099 -25.2267
21550 27 0.0787172 -19.9824
21600 32 0.0932945 -24.7005
21650 33 0.0962099 -30.0132
21700 42 0.122449 -38.3841
21750 38 0.110787 -30.5529
21800 30 0.0874636 -22.4063
21850 27 0.0787172 -21.0756
21900 26 0.0758017 -14.4206
21950 27 0.0787172 -15.6933
22000 26 0.0758017 -18.3666
22050 26 0.0758017 -18.7974
22100 24 0.0699708 -14.0392
22150 23 0.0670554 -12.1527
22200 24 0.0699708 -11.2673
22250 20 0.058309 -8.93834
22300 15 0.0437318 -6.01453
22350 19 0.0553936 -3.83078
22400 18 0.0524781 -6.60749
22450 14 0.0408163 -5.15395
22500 15 0.0437318 -4.84853
22550 17 0.0495627 -5.22909
22600 24 0.0699708 -6.55501
22650 16 0.0466472 -5.80842
22700 15 0.0437318 -4.87738
22750 23 0.0670554 -11.1883
22800 23 0.0670554 -10.1665
22850 20 0.058309 -10.7104
22900 21 0.0612245 -10.8689
22950 21 0.0612245 -9.02572
23000 13 0.0379009 -6.17085
23050 16 0.0466472 -6.12829
23100 18 0.0524781 -7.27788
23150 14 0.0408163 -7.34362
23200 14 0.0408163 -6.14852
23250 13 0.0379009 -4.23065
23300 20 0.058309 -9.83443
23350 20 0.058309 -12.1236
23400 23 0.0670554 -14.5323
23450 27 0.0787172 -20.9604
23500 24 0.0699708 -18.3586
23550 22 0.0641399 -12.2457
23600 20 0.058309 -9.79249
23650 15 0.0437318 -5.46624
23700 26 0.0758017 -12.1654
23750 29 0.0845481 -13.5076
23800 28 0.0816327 -17.1569
23850 14 0.0408163 -7.02271
23900 10 0.0291545 -3.014
23950 7 0.0204082 -2.5504
24000 16 0.0466472 -4.78617
24050 8 0.0233236 -0.251164
24100 10 0.0291545 -1.81149
24150 21 0.0612245 -8.94727
24200 16 0.0466472 -8.00729
24250 15 0.0437318 -3.90284
24300 17 0.0495627 -3.54034
24350 16 0.0466472 -3.50652
24400 13 0.0379009 -3.10839
24450 10 0.0291545 -0.691029
24500 15 0.0437318 -2.81599
24550 17 0.0495627 -5.86432
24600 11 0.03207 -2.54908
24650 11 0.03207 -2.06244
24700 10 0.0291545 -1.18875
24750 7 0.0204082 -1.71259
24800 12 0.0349854 -4.71724
24850 23 0.0670554 -9.96214
24900 21 0.0612245 -8.52725
24950 23 0.0670554 -12.2493
25000 16 0.0466472 -5.79316
25050 15 0.0437318 -6.22015
25100 13 0.0379009 -3.76284
25150 16 0.0466472 -2.86219
25200 15 0.0437318 -7.38229
25250 14 0.0408163 -6.28247
25300 14 0.0408163 -2.43678
25350 20 0.058309 -6.22949
25400 15 0.0437318 -5.60526
25450 18 0.0524781 -5.65974
25500 15 0.0437318 -3.45178
25550 21 0.0612245 -11.5372
25600 18 0.0524781 -6.11927
25650 21 0.0612245 -12.1044
25700 25 0.0728863 -13.0628
25750 24 0.0699708 -13.3618
